Key,Korean (South Korea)(ko-KR),English(en),CH,JP
ally206_desc,기예가 뛰어나고 풍류를 잘 아는 예술가 중에서 의병에 자원한 이. 아름다운 예인이라고 만만하게 보았다가는 큰 화를 당할 수도 있다.,,,
ally301_name,장창병,Lancer,,
ally301_script,“한 발자국이라도 다가온다면 살아남지 못할 것이다!”,,,
ally301_desc,장창의 긴 사거리를 이용해 다가오는 적에게 치명적인 피해를 준다. 창이 피해를 줄 때 적이 구축한 진형이 무너지기도 한다.,,,
ally302_name,대겸병,Cresent Blademaster,,
ally302_script,“자비로움은 저 녀석들에겐 사치일 뿐이다.”,,,
ally302_desc,날카로움과 묵직한 위력을 동시에 가진 전투낫을 다루는 자. 전장에서는 전투낫을 휘둘러 넓은 궤도로 적을 가차없이 베어내 적의 접근을 허락하지 않는다.,,,
ally303_name,파쇄병,Great Mace Soldier,,
ally303_script,“완력이라면 나와 견줄 자가 없지. 한번 겨뤄보시게?”,,,
ally303_desc,바위를 옮기고 통나무를 나르며 힘을 길러온 장사. 전장에서는 돌격대의 망치가 되어 적 진형을 무너뜨린다. 승부욕이 강해 쉽게 물러서지 않는다.,,,
ally304_name,방진병,Tower Shield Soldier,,
ally304_script,“쓰러질지언정 물러서진 않겠습니다.”,,,
ally304_desc,"긴 장방패로 동료들을 감싸는 철벽 같은 존재다. 아무리 많은 적이 몰려와도 물러서지 않고, 묵묵히 방어 진영을 구축해 동료를 보호해낸다.",,,
ally305_name,명궁,Elite Archer,,
ally305_script,“바람은 계산하는 게 아니라 극복하는 것입니다.”,,,
ally305_desc,궁수 중 백발백중인 자들은 명궁이라는 호칭으로 불린다. 전장에서는 저격을 통해 전세를 역전시키며 염직과감을 실천하여 주변의 귀감이 된다.,,,
ally306_name,명포수,Elite Musketeer,,
ally306_script,“발자국 소리로 거리를 가늠하고 적당한 때 격발”,,,
ally306_desc,이제는 빠르게 장전하고 가장 적당한 때에 쏘아 치명상을 입히는 경지에 이르렀다.  유탄을 활용해 전세를 역전시키기도 한다. ,,,
ally307_name,도사,Taoist Sage,,
ally307_script,"""무극과 태극, 하늘과 땅과 사람이 만나 역동한다.""",,,
ally307_desc,수행을 통해 자연의 이치를 깨닫고 신묘한 도술을 연마했다. 부채를 휘저어 바람을 일으키면 나비효과로 솟을바람이 되고 태풍이되는 원리를 사람들은 이해하지 못했다.,,,
ally308_name,승병,Monk Warrior,,
ally308_script,"""지장 보살의 마음으로 선량한 중생들을 구하자!""",,,
ally308_desc,부처의 깨달음을 얻고자 정진하여 왔으나 이 땅의 평화와 백성들을 지키고자 스스로 파계하여 사천왕처럼 살생의 사명을 다한다.,,,
ally309_name,무당,Shaman,,
ally309_script,"""너희가 저지른 죄악, 이 땅의 신령들이 용서치 않을 것이다!""",,,
ally309_desc,보이지 않는 것을 보고 들리지 않는 것을 듣는 신과 인간 사이의 영매. 침략자들의 탐욕스런 기운이 느껴지면 망설임 없이 주문 공격을 날린다.,,,
ally310_name,의녀,Physician,,
ally310_script,"""침으로 치료도 하고 공격도 할 수 있습니다. 놓는 자리만 다를 뿐이죠.""",,,
ally310_desc,침술과 약초학에 정통한 이들. 독침으로 적을 막고 약으로 아군을 치료하기 위해 전선에 직접 나섰다.,,,
ally401_name,낭선차사,Thorn Spear Warrior,,
ally401_script,"""아무리 단단한 진형이라도 내 낭선창 앞에선 속수무책일 뿐입니다.""",,,
ally401_desc,낭선차사는 뾰족한 촉을 치렁하게 매단 낭선창을 휘저으며 적진으로 돌진한다. 견고한 방진이라 할지라도 빠르게 무너뜨리는 것이 특기이다.,,,
ally402_name,추혼사자,Cresent Blade Swordsman,,
ally402_script,"""더 이상의 침략은 허용하지 않겠다. 네 놈들의 영혼을 거두어주마...""",,,
ally402_desc,거대한 낫을 든 추혼차사는 적에게 전장의 저승사자로 불리운다. 공포스러운 사자겸을 무자비하게 휘둘러 적들을 황천으로 인도한다.,,,
ally403_name,첩중파관,,,
ally403_script,“태산같은 방패라도 내 야차과를 버틸 수 있는 지 두고보자고!”,,,
ally403_desc,거대한 철퇴를 장난감 다루듯 휘두르는 자들로 호방하고 대범한 성품을 지닌 대장부이다. 무시무시한 야차과를 내리칠 때마다 적의 몸은 으스러진다.,,,
ally404_name,금강파관,,,
ally404_script,"""나는 금강석이다! 나는 견고한 바위다!""",,,
ally404_desc,금강석처럼 단단한 의지와 바위처럼 견고한 육체를 지닌 전장의 대들보. 반드시 지켜낸다는 각오는 그들을 더욱 강력하게 만든다.,,,
ally405_name,신궁,Mythic Arhcer,,
ally405_script,"""제 표적은 마음 속에 있습니다.""",,,
ally405_desc,신궁의 화살은 보이지 않는 목표물도 반드시 적중하는 신묘함을 보여준다. 안개가 자욱한 날에도 어김없이 날아와 관통하는 화살에 적군들은 혼비백산 한다.,,,
ally406_name,신통포수,Mystic Musketeer,,
ally406_script,"""압도적인 화력만이 전장의 승리를 이끌어낼 수 있지!""",,,
ally406_desc,총과 유탄의 대가로 그의 웃음소리만큼 호방하고 화끈한 화력의 무기로 언제나 전장의 승리를 이끌어왔다. 필중의 사격 솜씨로 적을 빠르게 꿰뚫고 유탄을 던져 몰려오는 적을 궤멸시킨다.,,,
ally407_name,선인,Divine Sage,,
ally407_script,"""천지인의 조화를 이해한자 파도를 거스르지 않고 올라타는 법""",,,
ally407_desc,도술이 잘 통한다는 것은 그만큼 유위법의 원리를 간파한 것으로 사람의 경지를 뛰어넘는 경지이다. 선인이 사용하는 신통한 계획은 적에게 큰 시련이 되고 아군의 확신이 된다.,,,
ally408_name,대승,Grand Monk,,
ally408_script,"""일체유위법 여몽환포영 여로역여전 응작여시관""",,,
ally408_desc,"흔들리지 않는 평정심으로 본질을 간파하며, 전장에서 의병의 정신적 지주가 되어주는 존재이다. 그의 연설은 온화하고 확고하여 의병들에게 위안이 되어준다.",,,
ally409_name,만신,Grand Shaman,,
ally409_script,,,,
ally409_desc,,,,
ally410_name,선녀,Fairy Maiden,,
ally410_script,,,,
ally410_desc,,,,
empire_1Worker_name,노역자,Forced Laborer,,
empire_1Worker_script,"""죽으라면 죽는 거지. 살아봐야 별수 있나.""","""If they tell me to die, then I'll die. What good is living anyway?""",,
empire_1Worker_desc,"조선으로 끌려온 각국의 강제 노역자. 본디 농사며 고기잡이를 하던 평범한 백성이었으나, 낯선 나라에서 손에 피 묻은 도끼를 쥐게 되었다. 반쯤 죽은 눈빛으로 휘두르는 그 도끼는 자신의 삶을 부정당한 자의 무언의 저항처럼 느껴진다.","Once ordinary farmers and fishermen dragged to Joseon as forced labor. Now they grip bloodied axes in a strange land. Their half-dead eyes and the way they swing that axe feel like a mute, righteous resistance against lives that were taken from them.",,
empire_1Merchant_name,수상한 무역상,Shrewd Merchant,,
empire_1Merchant_script,"""무엇을 교환해 볼까요? 이 식칼 하나에 햅쌀 천 가마니는 어떠신지?""","""What would you trade for it? How about a kitchen knife for a thousand sacks of new rice?""",,
empire_1Merchant_desc,"눈 뜨고 코 베이고 싶다면 상인과 한두 마디만 섞으면 된다. 가격대를 미리 파악해 놓는다면 수월히 거래를 할 수 있지만 말이다(""그렇게까지 양심이 없진 않지요!""). 다소 뻔뻔한 만큼 철판을 깔긴 깔았는지 체력이 조금 높은 편이다.","A trader with a knack for ruthless bargaining. Speak a wrong word and you’ll lose more than your coin. Brazen and shameless, but his thick skin means he takes a bit more punishment than others.",,
empire_1Trader_name,교활한 통역관,Low-rank Bureaucrat,,
empire_1Trader_script,"""내 허락 없이는 아무것도 사고팔 수 없지. 암. 그렇고 말고.""","""Nothing is bought or sold without my say-so. Of course not.""",,
empire_1Trader_desc,"통제형 기질을 가진 하급 관료. 자신이 없으면 어떤 교역도 무효라고 주장한다. 딱히 기술이나 도구, 재주도 없으니 지위가 권위를 만든 경우라고 볼 수 있다. 처음 본 상대에게도 냅다 잔소리를 하거나 손을 위협적으로 올린다.",A petty official who insists no trade is valid unless he approves. No remarkable skills — his office and rank are his authority. He scolds strangers and raises his hand with the confidence of someone who believes power itself justifies him.,,
empire_2Bomber_name,필사의 특공병,Imperial Zealot,,
empire_2Bomber_script,"""제 삶의 길이는 그저 이 도화선 한 뼘만큼일 뿐이지요(씨익)""","""My life’s length is no more than this inch of fuse. (grin)""",,
empire_2Bomber_desc,"제국에 충성을 맹세한 자, 혹은 그렇게 세뇌당한 자. 명령이 내려지면 가방을 메고 적진 한복판으로 돌진해 폭탄을 터뜨린다. 광기에 가까운 충성심을 품고 달려드는 특공병의 얼굴을 본 날에는 누구나 밤잠을 설친다고 한다.","A fanatic who swore fealty to the Empire (or was brainwashed into it). When ordered, they run into the enemy with a bomb and detonate. Their lunatic devotion haunts the memory of anyone who saw them charge.",,
empire_2Archer_name,필사의 저격수,Imperial Archer,,
empire_2Archer_script,"""화살 하나에 적 하나. 셈은 확실해야죠.""","""One arrow, one enemy. Numbers must be precise.""",,
empire_2Archer_desc,"황제에게 충성을 맹세한 궁병대 소속. 수련과 주입식 교육을 통해 인간성을 지운 후, 기계처럼 조준하고 쏘는 것을 반복한다. 생존보다는 명중률이 우선이기에 숨통이 끊어지는 순간까지 활시위를 놓지 않는다.",An archer who pledged loyalty to the Emperor. Years of drill and indoctrination stripped away personal feeling; they aim and fire like a machine. Accuracy matters above all else — they will not lower their bow until life itself lets go.,,
empire_3Priest_name,불굴의 수도자,Propagandist,,
empire_3Priest_script,"""대답은 정해져 있는 거 알죠? 믿습니다, 혹은 믿습니다!""","""You know the answer already, right? I trust, or I trust!""",,
empire_3Priest_desc,"제국의 사상을 이식시키는 정신 교관. 아군은 물론이고 적군과 마을 사람들을 사상 앞에 무릎 꿇게 하고, 저항의 싹부터 말려버린다. 마법과 언어를 병기처럼 다루기에 그의 존재 자체로 깊은 정신적 침식을 불러일으킨다.","A mental instructor who implants the Empire’s ideology. With words and rituals he makes allies, enemies, and villages kneel before doctrine. He wields language and magic like weapons, causing slow, corrosive despair.",,
empire_3Warrior_name,불굴의 검객,Scion Swordsman,,
empire_3Warrior_script,"""예정된 일이기에 오히려 두렵지 않소이다.""","""It’s our fate; I’m not afraid of it.""",,
empire_3Warrior_desc,"대대로 검사의 계보를 이어온 무예인. 가문과 나라, 전통의 중압감을 안고 싸운다. 도발 스킬을 사용하여 자신만 공격하도록 유도해 동료를 지킨다. 전장을 예의 터로 여기는 자이며, 예의 끝에 죽음이 기다리고 있다는 것도 잘 알고 있다.","A martial heir born into a long line of duellists and prosecutors. He fights under the weight of family, tradition and duty. Uses taunts to draw enemy blows and shield his allies — the battlefield is his stage, and he knows honor’s final act may be death.",,
empire_3Guard_name,필살의 무사,Imperial Guard,,
empire_3Guard_script,"""황제께 닿으려는 손은 전부 댕강─이지!""","""Any hand that reaches for the Emperor — I’ll cleave it off!""",,
empire_3Guard_desc,"황제를 가장 가까이에서 호위하던 직속 근위병. 철갑을 걸친 그 육체는 창보다 빠르고, 방패보다 단단하다. 수호란 그에게 있어 방어가 아닌 선제 공격의 다른 이름이며, 황제에게 닿으려는 자는 누구든 먼저 쓰러뜨린다.","The Emperor’s closest protector. Armored and implacable, faster than a spear and harder than a shield. For him, guarding is best done by striking first — anyone who reaches toward the Emperor falls by his blade.",,
empire_4Warrior_name,살인귀 손대포,Imperial Soldier,,
empire_4Warrior_script,"""태양께선 쉬지 않으십니다. 그러니 저도 쉴 수 없습니다.""","""The Sun never rests; neither may I.""",,
empire_4Warrior_desc,고된 노역을 하다 황제의 눈에 띄어 황군에서 훈련된 인간 병기. 완전한 복종을 체화한 그는 황제 덕에 두 번째 생을 살게 되었다며 매일같이 감복한다. 손에 든 활(총)은 복종의 상징이다. 조선을 비롯해 의 산천을 그의 발밑에서 불타오르게 만들 셈이다.,Spotted during brutal labor and trained into a human weapon for the Emperor. He believes his second life is a gift from the throne. The weapon he carries — bow or musket — is a symbol of his obedience. He will set Joseon’s fields alight under the Emperor’s command.,,
empire_5Captain_name,전쟁신 붉은아귀,Sun Incarnation,,
empire_5Captain_script,"""나는 칼을 들지 않는다. 그저 태양의 뜻을 내보일 뿐.""","""I do not lift a sword. I merely show the Sun’s will.""",,
empire_5Captain_desc,제국의 진격을 선도하는 군단의 중심. 황제의 뜻을 가장 먼저 받드는 ‘태양의 화신’이라 불리는 자. 금강불괴의 아우라를 뿜어 아군이 받는 데미지를 감소시킨다. 전투 실력과 스킬을 넘어 황제와 가깝다는 사실만으로도 아군의 사기를 바짝 끌어올리는 존재다.,"A leader of the Empire’s advance known as a ‘Sun Incarnation’. His presence reduces incoming damage for allies. Beyond combat prowess, his closeness to the Emperor elevates troop morale — being near him is enough to stiffen resolve.",,
pioneer_1Worker_name,세뇌된 개척자,Cult Settler,,
pioneer_1Worker_script,"""땅을 일구라면 일구고 목을 따라면 따겠습니다!""","""If you want the land tilled, I’ll till it; if you want throats cut, I’ll do that too!""",,
pioneer_1Worker_desc,사이비 신앙에 현혹되어 먼 바다를 건너온 민간인. 새로운 장소를 찾아 그들만의 왕국을 건설하고자 조선까지 왔다. 교주에게 단단히 세뇌되어 시키는 건 무엇이든 할 준비가 되어 있다. 설령 그것이 약탈과 살육일지라도.,"Civilians misled by a fanatic faith who crossed the seas to found a new kingdom in Joseon. Brainwashed by their leader, they obey any order — be it settlement or pillage. Their fanaticism makes them dangerous pawns.",,
pioneer_1Slave_name,세뇌된 노예,Abused Cult Laborer,,
pioneer_1Slave_script,"""시키는 대로 다 할 테니까… 오늘은 스무 대만 때려주시면 안 될까요?""","""I’ll do anything you say… Just spare me—twenty lashes today, please?""",,
pioneer_1Slave_desc,"사이비 교단에 붙잡혀 각종 허드렛일을 거들어온 이들. 처음 고향도 가족도 모두 빼앗겼을 때는 복수심에 불타올랐지만, 교단이 체벌로 다스리가 무기력하게 명령을 따른다. 교단은 고된 일과 고문으로 상해버린 그들의 몸을 알뜰히 방패막이로 삼는다.","Forced into menial tasks by the cult. Where their family and home were taken, despair replaced rage; the cult’s beatings and exhaustion made them comply. They’re used as expendable fodder.",,
pioneer_2Slave_name,독극물 운반자,Poison Carrier,,
pioneer_2Slave_script,"""시키는 대로 다 할 테니까… 잠시만… 쉬게 해주세요….""","""I’ll do whatever you order… Please, just—let me rest.""",,
pioneer_2Slave_desc,"역시 사이비 교단에 붙잡혀 위험한 일을 도맡아온 이들. 개척지에 살포할 독극물을 운반하다 중독되어 피부색이 기괴하게 변했고, 작은 고통은 느끼지도 못하게 되어버렸다. 사망 시 몸속에 축적된 독가스를 방출하여 20% 확률로 중독 상태를 일으킨다.","Another broken soul, tasked with dangerous jobs like transporting toxins. Long exposure left their skin sallow; they barely feel pain. When they die, trapped poisons detonate, leaving a 20% chance to poison nearby foes.",,
pioneer_2Archer_name,광기의 파수꾼,Cult Vanguard,,
pioneer_2Archer_script,"""교주님 근처로는 벌레 한 마리도 못 오게 하는 게 우리의 신성한 의무지!""","""Not even a bug shall approach near our prophet!""",,
pioneer_2Archer_desc,"교단의 최하급 병졸. 어렵게 기사단에 들어왔으나 이렇다 할 전공이 없어 파수꾼으로 배치되었다. 그러나 '파수꾼'이라는 명칭이 이들의 사기를 북돋았는지 자세가 아주 적극적이다. 체력도 힘도 애매하지만, 교주를 지키기 위해서라면 물불 가리지 않고 광기의 활을 쏘아보낸다.","Lowest-rank cult soldier assigned to guard the prophet. Their title boosts morale oddly, making them spirited defenders. Not especially strong, but fanatically protective — they will fire frenzied shots to protect their leader.",,
pioneer_2Scout_name,광기의 정찰병,Cult Scout,,
pioneer_2Scout_script,"""투지를 불태워라! 내가 교주님의 눈이 되어 살피고 있으니!""","""Keep the faith aflame! I am the prophet’s eyes!""",,
pioneer_2Scout_desc,"넓은 지역을 정찰하는 정찰자. 투지 아우라를 뿜어 주변에 있는 아군에게 투지 상태를 부여한다. 작은 총으로 원거리 공격을, 찌르기로 근거리 공격을 한다. 방탄갑을 입고 있어 파수꾼보다 조금 체력이 강하다. 교주의 눈에 들기 위해서라면 물불 가리지 않고 광기의 총알을 쏜다.","A long-range recon unit who radiates fervor, granting nearby allies a ‘fervor’ (or ‘resolve’) state. Armed with a small gun for distance and a spear for close work. Slightly tougher than the basic guardian thanks to light armor.",,
pioneer_2Executor_name,광기의 집행자,Inquisitor,,
pioneer_2Executor_script,"""불신한 자여, 그 죄를 네 피로 갚아라!""","""Infidel, pay with blood for your sins!""",,
pioneer_2Executor_desc,이단자에 대한 심판을 수행하는 자. 이들은 교단의 가르침에서 벗어난 자들을 직접 처형함으로써 자신이 ‘정의’를 구현하고 있다고 믿는다. 그 광신의 눈빛엔 단 하나의 확신만이 깃들어 있다—피는 죄를 씻는 물이라는 것.,"They believe purging heresy is divine justice. They execute those who stray from doctrine, convinced that blood cleanses sin. Their fanatic gaze holds a single conviction.",,
pioneer_2Bomber_name,광기의 폭약 기술자,Mad Demolitionist,,
pioneer_2Bomber_script,"""금빛 계시가 내 귀에 속삭였어. 다 날려버리라고!""","""A golden revelation whispered in my ear — burn it all away!""",,
pioneer_2Bomber_desc,"지하에서 광맥을 찾다 폭약에 빠진 기술자. 이제 그는 황금의 계시를 좇아 온몸에 폭탄을 두르고 적진으로 뛰어든다. 죽음은 그에게 끝이 아닌 증명이기에, 광기의 미소로 자폭해 모두를 끌고 간다.","Once a miner, trapped in explosives while seeking veins underground. Now consumed by visions of gold, he straps himself with bombs and rushes the enemy. Death isn’t an end but proof — and he smiles as he detonates.",,
pioneer_3Captain_name,타락한 선봉기사,Cult Knight,,
pioneer_3Captain_script,"""전진하라! 우리의 발걸음이 신의 길을 열지어니!""","""Advance! Our steps will open the god’s path!""",,
pioneer_3Captain_desc,"본래는 개척의 선봉장이었으나, 교단의 명령에 따라 파괴와 점령을 일삼는 자가 되었다. 느릿하지만 단단하며, 그의 전진은 단지 물리적 돌진이 아닌 신의 뜻이라는 망상으로 강화된 의식 그 자체다.","Formerly a colonization vanguard turned into a harbinger of demolition by the cult. Slow but solid; his charge is more ritual than mere movement, strengthened by the belief that it’s divine will.",,
pioneer_3Executor_name,타락한 심문자,Torturer,,
pioneer_3Executor_script,"""진실을 토하라. 아니면, 비명을 지르도록.""","""Confess, or scream until you do.""",,
pioneer_3Executor_desc,"이단자의 고통을 통해 신의 의지를 드러낸다고 믿는 심문자. 고문은 정화의 과정이며, 비명은 회개의 언어다. 그의 도끼는 살해의 도구가 아니라 교단의 사랑을 강제로 주입하는 선물이다.","Believes divine will is revealed through the agony of the heretic. Torture is purification; screams are redemption. His axe is not for killing alone, but for forcing confession.",,
pioneer_3Guard_name,타락한 가디언,Brainwashed Guard,,
pioneer_3Guard_script,"""무엇이든 상관없다. 접근하는 것들은 전부 제거해.""","""Anything. Remove anything that approaches.""",,
pioneer_3Guard_desc,"본래는 원주민 보호를 위해 고용된 경비병이었으나, 교단의 세뇌로 충성의 대상을 바꾸었다. 검과 집념 하나로 전장에 뛰어들며, 타락한 신념은 그를 더욱 완고하고 무자비하게 만든다.","Originally hired to protect locals, now reprogrammed into cult loyalty. With sword and obsession, he becomes unyielding and remorseless in combat.",,
pioneer_3Priest_name,타락한 전도사,Cult Preacher,,
pioneer_3Priest_script,"""치유받을 수 있다만요. 믿기만 한다면 말이죠.""","""You can be healed—if only you would believe.""",,
pioneer_3Priest_desc,"거짓된 구원을 전파하는 전도사. 그는 상처 입은 자를 치료하면서 동시에 신의 이름으로 그들을 종속시킨다. 봉에서 뿜어지는 힘은 단지 약이 아니라, 영혼을 사로잡는 교단의 사슬이다.","A false savior who heals while chaining souls to the cult. His staff’s power is not purely medicine but ritual control, binding patients in faith and dependence.",,
pioneer_4Executor_name,이단 심판관 제로엘,Zealous Executioner Zeróel,,
pioneer_4Executor_script,"""의심은 죄요, 나의 검은 그 죄의 끝이다.""","""Doubt is sin, and my blade ends sin.""",,
pioneer_4Executor_desc,"거룩함의 탈을 쓴 냉혈한. 심판관 제로엘은 절대적인 규율과 교리로 무장해 이단자를 가려내고, 자신의 정의를 강요한다. 그의 도발은 단지 분노를 유도하는 것이 아니라, 광신을 이끌어내는 종의 파문이다.","Cold and doctrinaire, Zeróel roots out heresy by strict rule and ritual. His taunts provoke fanatic responses and amplify his own power.",,
pioneer_4Paladin_name,신성전사 에드워드,Punisher Edward,,
pioneer_4Paladin_script,"""내 망치는 정의의 도장이다. 심판받을 준비가 되었는가?""","""My hammer stamps the seal of justice. Are you ready?""",,
pioneer_4Paladin_desc,"팔라딘이라는 이름에 걸맞게 빛과 진실을 외치지만, 그 망치는 자비가 아닌 파괴의 도구다. 징벌자 에드워드는 교단의 의지를 구현하는 성스러운 파괴자이며, 신의 이름으로 모든 이단을 짓밟는다.",A holy-sounding warrior whose ‘truth’ is punishment. Edward embodies the cult’s righteous destruction; his hammer is salvation turned into a ruinous force.,,
pioneer_5King_name,탐욕의 교주 헨리,"The Absolute, Henry",,
pioneer_5King_script,"""그대들의 영혼조차 나의 신전을 위한 연료이니라.""","""Even your souls will fuel my temple.""",,
pioneer_5King_desc,"사이비 교단의 절대자. 믿음과 구원을 빌미로 영혼과 재산을 착취하는 악마에 가까운 인물. 헨리는 대중을 홀리는 설득력과 기괴한 카리스마를 지녔으며, 적 앞에서 겸허한 웃음 뒤에 맹독 같은 기도를 속삭인다.","The cult’s monstrous leader. A master of persuasion and eerie charisma, Henry plunders souls and wealth while preaching salvation. Humble smiles hide venomous prayers.",,
moor_2Archer_name,용병단 궁수,Desert Mercenary,,
moor_2Archer_script,"""흠, 조무래기들과 비교하지 말아주시겠어요?""","""Don’t compare me to small-time ruffians, please.""",,
moor_2Archer_desc,척박한 고향 사막에 돈을 벌어다 주기 위해 자원한 전문 용병. 어렸을 때부터 특수 훈련을 받았기에 기본 공격력과 체력이 높고 그만큼 콧대도 아주 높다. 받은 만큼 공격하기 때문에 잔혹하도록 깔끔하고 빠르게 활을 쏘는 것이 특징이다.,"A professional soldier from a harsh desert homeland, recruited for pay. Trained since childhood, she’s proud and blunt, packing high base attack and HP. Efficient, ruthless, and clean in her kills.",,
moor_2Scout_name,훈련된 도약수,Desert Ranger,,
moor_2Scout_script,"""(휘릭) 이 정도는 몸풀기라고 볼 수 있죠.""","""(shing) This is just a warm-up.""",,
moor_2Scout_desc,역시 척박한 고향 사막에 돈을 벌어다 주기 위해 자원한 전문 용병. 어렸을 때부터 기동력 위주의 특수 훈련을 받았기에 유격대원으로 탁월한 실력을 보여준다. 긴 창을 공격뿐 아니라 바리케이트를 뛰어넘는 데 이용하여 방어 진영을 무력화해버린다.,"Another mercenary from the same wasteland, trained for mobility. Expert at hit-and-run tactics, she uses a long spear to both strike and vault obstacles, breaking defensive lines.",,
moor_2Assassin_name,용병단 살수,Desert Assassin,,
moor_2Assassin_script,"""…내가 보여? 칫, 이번 한 번만 봐주지.""","""…You see me? Hmph. Tonight, I’ll let it slide.""",,
moor_2Assassin_desc,역시 척박한 고향 사막에 돈을 벌어다 주기 위해 자원한 전문 용병. 은신에 능한 엘리트만 살수로 은밀하게 훈련된다. 암살이 전문인 만큼 그 실체를 본 사람이 드물다는데 유독 조선에서는 자주 목격된다. 조선의 황금빛 들녘에 사막의 향수를 느껴 경계심이 흐트러졌다는 설이 유력하다.,"Elite stealth mercenary, legendary for disappearance and sudden kills. Usually unseen, but oddly overexposed in Joseon — some say the golden fields loosen her discipline.",,
moor_2Medic_name,신기루 메딕,Desert Healer,,
moor_2Medic_script,"""이건 약이자 기도입니다. 피를 멈추는 주문, 들으셨죠?""","""This is both medicine and prayer. It stops the bleeding, you hear?""",,
moor_2Medic_desc,"사막 부족 특유의 의술과 주문을 병행하는 치유사. 피를 멎게 하고, 뼈를 붙이고, 심지어 공포를 진정시키는 그녀의 손놀림은 신기루처럼 신비롭다. 정제된 수정을 사용하며, 그 안에서 흘러나오는 빛으로 아군을 회복시킨다. 치료라기보다는 의식에 가까운 행위다.","A healer blending tribal medicine and ritual. She stops blood, mends bone, and calms fear using polished crystals that glow — her healing is more rite than remedy.",,
moor_3Assassin_name,신기루 학살자,The Phantom,,
moor_3Assassin_script,"""살아남을 생각은 말아요. 이미 이름조차 지운 몸이니까.""","""Don’t think about surviving. Your name has already been taken.""",,
moor_3Assassin_desc,"무어 용병대 내에서도 ‘실체 없는 검’이라 불리는 그림자. 단독 잠입은 물론, 집단 학살도 맡는 극단적 암살자다. 그의 칼날은 맹독을 머금고 있어, 상처 하나로 수십 명을 무릎 꿇린다. 은신과 접근의 달인인 그는, 오늘도 적의 숨소리를 따라 칼을 뽑는다.","Within the Moorish mercenary ranks, a phantom-like killer who specializes in solitary infiltration and mass slaughter. Her blades carry poison that topples crowds; she sticks to the enemy’s breath and strikes.",,
moor_3Scout_name,신기루 레인저,Elite Pathfinder,,
moor_3Scout_script,"""무엇이 가로막든… 넘는다. 그게 우리 방식이니까.""","""Whatever blocks us… we go through it. That’s our way.""",,
moor_3Scout_desc,"최정예 유격대 출신으로, 전장을 누비며 가장 빠르게 침투하는 척후병. 벽이든 구덩이든 장대창 하나로 단숨에 돌파한다. 그의 탄력 있는 장대창은 적을 찌르는 창이자, 장애물을 넘는 도약대다. 순간의 틈을 보고 달려드는 그의 실루엣은, 마치 신기루처럼 붙잡히지 않는다.",A top reconnaissance veteran who moves across the battlefield and penetrates deepest lines. Her flexible spear is both weapon and pole-vault; her silhouette is a mirage — gone before you can act.,,
moor_3Warrior_name,신기루 돌격전사,Desert Trooper,,
moor_3Warrior_script,"""멈추면 죽는다. 아주 간단한 이치잖아?""","""Stop and you die. It’s that simple.""",,
