Key,Korean (South Korea)(ko-KR),English(en)
USkillAttack017_desc,무구를 휘두르며 불길한 춤사위를 벌인다. 칼 끝에 맺힌 살기가 검기로 날아가 적의 몸과 기운을 함께 갉아먹는다.,"Performs an ominous dance while wielding the blade. Malice gathers at its edge and flies forth as cutting energy, draining both the enemy's body and strength."
USkillAttack017_effect,"고정 데미지 15, '약화' 상태 부여",15 Fixed Damage. Inflicts 'Weakened'.
USkillAttack018_name,전율침,Tremor Needle
USkillAttack018_desc,인체의 혈자리를 노려 가느다란 비수를 날린다. 정확히 꽂힌 비수는 순간적으로 온몸에 전율을 일으켜 적의 움직임을 흐트러뜨린다.,"Throws a slender dagger at a vital point. A precise hit sends a sudden tremor through the enemy's body, disrupting their movement."
USkillAttack018_effect,"찌르기 데미지 13.5, 20% 확률로 '감전' 상태 부여",13.5 Piercing Damage. 20% chance to inflict 'Electrified'.
USkillAttack019_name,휘돌려 찌르기,Whirling Thrust
USkillAttack019_desc,전방의 단일 적을 향해 휘돌려 찌르는 난격을 가한다.,Spins into a rapid thrusting blow against a single enemy ahead.
USkillAttack019_effect,찌르기 데미지 40,40 Piercing Damage.
USkillAttack020_name,대참격,Great Slash
USkillAttack020_desc,거대한 낫을 치켜들어 단숨에 내리치듯 목표물을 가른다. ,Raises a massive scythe and cleaves through the target in a single mighty stroke.
USkillAttack020_effect,베기 데미지 37.5,30 Slashing Damage.
USkillAttack021_name,파쇄 일격,Shattering Blow
USkillAttack021_desc,적의 상단부를 노리고 야차과의 육중한 무게를 실어 내리쳐 가루가 될 만큼 큰 충격을 준다.,"Brings down the massive weight of the weapon upon the enemy, striking with enough force to crush them to pieces."
USkillAttack021_effect,때리기 데미지 30,20 Crushing Damage.
USkillAttack022_name,핵 철퇴,Mace Slam
USkillAttack022_desc,묵직한 철구를 능숙하게 올렸다 내려치며 핵 꿀밤을 먹이 듯 큰 충격을 준다. ,"Expertly raises and slams down a massive iron ball, delivering one devastating knock."
USkillAttack022_effect,때리기 데미지 20,30 Crushing Damage.
USkillAttack023_name,일촉 필살,One Shot One Kill
USkillAttack023_desc,평정 상태를 유지해 집중하여 한 발 한 발 강력한 피해를 준다.,"Maintains perfect composure and concentration, making every shot devastating."
USkillAttack023_effect,찌르기 데미지 40,40 Piercing Damage.
USkillAttack024_name,속사포,Rapid Fire
USkillAttack024_desc,근대화 무기를 사용해 빠르고 강력하게 적에게 피해를 준다.,Uses modernized weaponry to attack enemies with greater speed and power.
USkillAttack024_effect,찌르기 데미지 50,50 Piercing Damage.
USkillAttack025_name,돌개바람,Whirlwind
USkillAttack025_desc,신묘한 부채질로 난기류를 증폭시켜 여러개의 돌개바람을 내보내어 다수의 적을 때려 피해를 준다.,"Amplifies turbulent winds with a mystical fan, unleashing several whirlwinds to batter multiple enemies."
USkillAttack025_effect,원뿔 범위 내 적군 때리기 데미지 30,All enemies in a cone: 30 Crushing Damage.
USkillAttack026_name,주장자,Monk's Staff
USkillAttack026_desc,주장자를 휘둘러 악한 마음을 가진 적에게 때리기 피해를 준다.,Swings a monk's staff to strike enemies harboring wicked intentions.
USkillAttack026_effect,"직선 범위 내 적군 때리기 데미지 40, '위축' 상태 부여",All enemies in a line: 40 Blunt Damage. Inflicts 'Fearful'.
USkillAttack027_name,필살의 검무,Deadly Swordplay
USkillAttack027_desc,신명이 절정에 이른 채 한바탕 검무를 펼친다. 현란한 춤사위에서 뻗어 나온 서늘한 검기가 적들의 기운을 쇠약하게 만든다.,"At the height of a spiritual trance, performs a dazzling sword dance. Chilling sword energy surges from each movement, draining the enemies' strength."
USkillAttack027_effect,"고정 데미지 30, '약화' 상태 부여",30 Fixed Damage. Inflicts 'Weakened'.
USkillAttack028_name,몰아치는 화염,Raging Flames
USkillAttack028_desc,화염을 파도처럼 일으켜 다수의 적을 불태운다.,Raises a wave of fire that burns through multiple enemies.
USkillAttack028_effect,원뿔 범위 내 적군 화염 데미지 50,All enemies in a cone: 50 Fire Damage.
USkillAttack029_name,가로베기 2,Side Slash 2
USkillAttack029_desc,무기를 가로로 휘둘러 적을 벤다.,Swings the weapon horizontally to slash the enemy.
USkillAttack029_effect,베기 데미지 13.5,13.5 Slashing Damage.
USkillAttack030_name,가로베기 3,Side Slash 3
USkillAttack030_desc,무기를 가로로 휘둘러 적을 벤다.,Swings the weapon horizontally to slash the enemy.
USkillAttack030_effect,베기 데미지 25,25 Slashing Damage.
USkillAttack031_name,기습 일침,Surprise Thrust
USkillAttack031_desc,뾰족한 칼 끝으로 재빠르게 찌른다.,Quickly thrusts with the sharp tip of the blade.
USkillAttack031_effect,찌르기 데미지 9,9 Piercing Damage.
USkillAttack032_name,기습 일격,Surprise Strike
USkillAttack032_desc,뾰족한 칼 끝으로 재빠르고 강하게 찌른다.,Delivers a swift and powerful thrust with the sharp tip of the blade.
USkillAttack032_effect,찌르기 데미지 12.5,12.5 Piercing Damage.
USkillAttack033_name,검격,Sword Strike
USkillAttack033_desc,예리한 날로 적을 베어낸다.,Slashes through the enemy with a keen blade.
USkillAttack033_effect,베기 데미지 12.5,12.5 Slashing Damage.
USkillAttack034_name,참교육,Holy Lesson
USkillAttack034_desc,묵직한 성서를 휘둘러 강력하게 때린다.,Swings a heavy scripture and gives the enemy a powerful beating.
USkillAttack034_effect,때리기 데미지 30,30 Crushing Damage.
USkillAttack035_name,지팡이 휘두르기,Staff Swing
USkillAttack035_desc,긴 지팡이를 휘둘러 적을 때린다.,Swings a long staff to strike the enemy.
USkillAttack035_effect,때리기 데미지 18.75,25 Crushing Damage.
USkillAttack036_name,증오의 일격,Strike of Hatred
USkillAttack036_desc,무자비하게 내리쳐 적을 베어버린다.,Ruthlessly brings the weapon down and cuts through the enemy.
USkillAttack036_effect,베기 데미지 50,50 Slashing Damage.
USkillAttack037_name,강타,Heavy Blow
USkillAttack037_desc,육중한 망치로 묵직한 타격을 준다.,Delivers a crushing blow with a massive hammer.
USkillAttack037_effect,때리기 데미지 50,50 Crushing Damage.
USkillAttack038_name,빛의 검,Sword of Light
USkillAttack038_desc,영롱한 빛의 검으로 보이는 적을 가차없이 벤다.,Mercilessly cuts down visible enemies with a radiant sword of light.
USkillAttack038_effect,직선 범위 내 적군 베기 데미지 62.5,All enemies in a line: 62.5 Slashing Damage.
USkillAttack039_name,주먹질,Punch
USkillAttack039_desc,주먹을 휘둘러 가까운 적을 때린다.,Swings a fist at a nearby enemy.
USkillAttack039_effect,때리기 데미지 12,12 Crushing Damage.
USkillAttack040_name,막치기,Wild Punch
USkillAttack040_desc,팔을 마구잡이로 움직여 가까운 적을 때린다.,Flails wildly at nearby enemies.
USkillAttack040_effect,때리기 데미지 3,3 Crushing Damage.
USkillAttack041_name,일발필중,Sure Shot
USkillAttack041_desc,절대로 빗나가지 않는 명중률로 총알을 발사해 적에게 피해를 준다.,"Fires with flawless accuracy, ensuring the shot never misses its target."
USkillAttack041_effect,찌르기 데미지 50,50 Piercing Damage.
USkillAttack042_name,제국 검술,Swordsmanship
USkillAttack042_desc,제국의 야만적인 검술로 적을 무자비하게 벤다.,Mercilessly cuts down enemies with the Empire's brutal swordsmanship.
USkillAttack042_effect,베기 데미지 62.5,62.5 Slashing Damage.
USkillAttack043_name,거친 화살,Rough Arrow
USkillAttack043_desc,제데로 다듬어지지 않은 화살을 쏘아 가까이 다가온 적을 공격한다.,Fires a poorly crafted arrow at an enemy that has come close.
USkillAttack043_effect,찌르기 데미지 9,9 Piercing Damage.
USkillAttack044_name,다듬어진 화살,Refined Arrow
USkillAttack044_desc,날개와 촉을 손질한 화살을 쏘아 조금 더 먼 거리의 적을 공격한다.,Fires an arrow with improved fletching and arrowhead to strike enemies from farther away.
USkillAttack044_effect,찌르기 데미지 12,18 Piercing Damage.
USkillAttack045_name,고급 화살,Fine Arrow
USkillAttack045_desc,균형이 잘 잡힌 화살을 날려 떨어진 거리의 적을 안정적으로 공격한다.,Fires a well-balanced arrow to reliably strike enemies from a distance.
USkillAttack045_effect,찌르기 데미지 18,18 Piercing Damage.
USkillAttack046_name,철 화살,Iron Arrow
USkillAttack046_desc,단단한 철촉이 달린 화살을 쏘아 먼 거리의 적에게 피해를 입힌다.,Fires an arrow tipped with hardened iron to damage distant enemies.
USkillAttack046_effect,찌르기 데미지 25,25 Piercing Damage.
USkillAttack047_name,쐐기 화살,Bodkin Arrow
USkillAttack047_desc,두껍고 날카로운 쐐기형 화살을 날려 멀리 있는 적을 위협한다.,"Fires a thick, sharply pointed arrow to threaten enemies at long range."
USkillAttack047_effect,찌르기 데미지 40,40 Piercing Damage.
USkillAttack048_name,화침 비산,Petal Barrage
USkillAttack048_desc,신비한 기운을 머금은 꽃잎을 한 줌 흩뿌린다. 부드럽게 날아가던 꽃잎은 순간 날카롭게 변해 적의 몸에 파고든다.,"Scatters a handful of petals imbued with mystical energy. As they drift toward the enemy, the petals suddenly sharpen and pierce into their body."
USkillAttack048_effect,"찌르기 데미지 13.5, 40% 확률로 '감전' 상태 부여",13.5 Piercing Damage. 40% chance to inflict 'Electrified'.
USkillAttack101_name,가지 치기,Pruning Slash
USkillAttack101_desc,억센 나뭇가지를 쳐 내듯 낫을 들어 아래로 내려친다.,Brings the sickle down as though chopping through a tough branch.
USkillAttack101_effect,베기 데미지 13.5,13.5 Slashing Damage.
USkillAttack102_name,겨누어 쏘기,Steady Aim
USkillAttack102_desc,숨을 고른 뒤 조준 후 목표물을 정확하게 겨눠 저격한다.,"Steadies their breathing, takes careful aim, and shoots the target with precision."
USkillAttack102_effect,찌르기 데미지 18,18 Piercing Damage.
USkillAttack103_name,추수하기,Harvest
USkillAttack103_desc,낫창을 넓직하게 휘둘러 당기며 다수의 적을 벤다.,"Sweeps the sickle-spear wide and pulls it back, cutting through multiple enemies."
USkillAttack103_effect,원뿔 범위 내 적군 베기 데미지 27,All enemies in a cone: 27 Slashing Damage.
USkillAttack104_name,방패 밀치기,Shield Bash
USkillAttack104_desc,방패로 상대방의 움직임을 끊듯이 강하게 밀어 친다.,Slams the shield into the enemy to disrupt their movement.
USkillAttack104_effect,때리기 데미지 27,13.5 Blunt Damage.
USkillAttack105_name,정조준,Precise Shot
USkillAttack105_desc,체계적인 궁술을 익혀 적을 정조준하여 피해를 준다. 급소를 노려 방어구를 무시한다.,"Uses disciplined archery to precisely target the enemy's weak point, bypassing their armor."
USkillAttack105_effect,"찌르기 데미지 27, 방어 상성 무시",27 Piercing Damage. Ignores Defense Matchup.
USkillAttack106_name,저격,Snipe
USkillAttack106_desc,적을 정확히 저격하여 강력한 피해를 준다.,Takes precise aim at the enemy and deals heavy damage.
USkillAttack106_effect,찌르기 데미지 33.75,40.5 Piercing Damage.
USkillAttack107_name,관통격,Piercing Thrust
USkillAttack107_desc,창을 깊숙히 찔러 적을 관통하며 직선 상의 범위 내 모든 대상에게 피해를 준다.,"Drives the spear deep through the enemy, damaging every target along its path."
USkillAttack107_effect,직선 범위 내 적군 찌르기 데미지 37.5,All enemies in a line: 37.5 Piercing Damage.
USkillAttack108_name,공포의 추수,Harvest of Fear
USkillAttack108_desc,전투낫을 크게 휘둘러 당기며 다수의 적을 벤다.,"Sweeps the war scythe in a wide arc, cutting through multiple enemies."
USkillAttack108_effect,원뿔 범위 내 적군 베기 데미지 28.125,All enemies in a cone: 28.125 Slashing Damage.
USkillAttack109_name,력사의 분노,Strongman's Fury
USkillAttack109_desc,도깨비 방망이처럼 생긴 대철퇴를 을러 잡고 주변의 적들을 향해 힘껏 휘두른다.,"Grips a massive, club-like mace and swings it at the enemy with tremendous force."
USkillAttack109_effect,"때리기 데미지 28.125, 20% 확률로 '방어구 파괴' 상태 부여",28.125 Crushing Damage. 20% chance to inflict 'Broken Armor'.
USkillAttack110_name,급소 사격,Vital Shot
USkillAttack110_desc,약점인 적의 미간을 노려 치명상을 입힌다. 급소를 노려 방어구를 무시한다.,"Aims between the enemy's eyes for a devastating wound, bypassing their armor."
USkillAttack110_effect,"찌르기 데미지 37.5, 방어 상성 무시",37.5 Piercing Damage. Ignores Defense Matchup.
USkillAttack111_name,유탄 투척,Grenade
USkillAttack111_desc,유탄을 던져 대상과 주위 적 모두에게 폭발하여 피해를 준다.,"Throws a grenade that explodes, damaging the target and nearby enemies."
USkillAttack111_effect,원형 범위 내 적군 때리기 데미지 56.25,All enemies in a circular area: 56.25 Crushing Damage.
USkillAttack112_name,선풍일도,Gale Blade
USkillAttack112_desc,태극선으로 바람의 검기를 날려 적을 벤다.,Sends a blade of wind from a taegeuk fan to cut through enemies.
USkillAttack112_effect,직선 범위 내 적군 베기 데미지 28.125,All enemies in a line: 28.125 Slashing Damage.
USkillAttack113_name,휘몰이,Whirling Slash
USkillAttack113_desc,전방의 다수 적을 향해 낭선창을 격하게 휘저으며 지속적인 피해를 입힌다.,"Vigorously sweeps the nangseon spear at multiple enemies ahead, dealing continuous damage."
USkillAttack113_effect,원뿔 범위 내 적군 찌르기 데미지 60,All enemies in a cone: 60 Piercing Damage.
USkillAttack114_name,영혼 수확,Soul Harvest
USkillAttack114_desc,"사자겸을 반원으로 휘둘러 당기며 다수의 적들에게 큰 피해를 주며, 기세에 눌려 위축되게 만든다.","Sweeps the scythe in a semicircle, dealing heavy damage to multiple enemies and overwhelming them with fear."
USkillAttack114_effect,"원뿔 범위 내 적군 베기 데미지 45, '위축' 상태 부여",All enemies in a cone: 45 Slashing Damage. Inflicts 'Fearful'.
USkillAttack115_name,야차의 광기,Frenzy
USkillAttack115_desc,거대한 야차과를 원형으로 휘두르며 주변의 모든 적에게 고통스러운 충격을 준다.,"Swings a massive weapon in a circle, delivering painful impacts to every nearby enemy."
USkillAttack115_effect,"원형 범위 내 적군 때리기 데미지 30, 40% 확률로 '방어구 파괴' 상태 부여",All enemies in a circular area: 30 Crushing Damage. 40% chance to inflict 'Broken Armor'.
USkillAttack116_name,회심의 일촉,Decisive Shot
USkillAttack116_desc,신궁의 경지만 다룰 수 있다는 특별하고 거대한 화살을 겨눠 적에게 강력한 피해를 준다.,Fires an extraordinary oversized arrow said to be usable only by a master archer.
USkillAttack116_effect,"찌르기 데미지 60, 방어 상성 무시",60 Piercing Damage. Ignores Defense Matchup.
USkillAttack117_name,고폭 유탄 투척,Powerful Grenade
USkillAttack117_desc,유탄을 개량해 더욱 강력해졌다. 유탄을 던져 대상과 주위 적에게 더 강력하고 넓은 폭발을 일으켜 강력한 피해를 준다.,"An improved grenade creates a larger and more powerful explosion, devastating the target and nearby enemies."
USkillAttack117_effect,원형 범위 내 적군 때리기 데미지 75,All enemies in a circular area: 75 Blunt Damage.
USkillAttack118_name,천둥 구름,Thundercloud
USkillAttack118_desc,도술로 먹구름을 소환하여 주변의 적에게 강력한 번개를 내리치도록 유도한다.,"Summons a dark cloud through mystical arts, calling powerful lightning down upon nearby enemies."
USkillAttack118_effect,천둥 구름은 5초 동안 0.5초마다 영역 내 무작위 적 1명에게 25의 전기 데미지,"For 5 sec, deals 25 Lightning Damage to 1 random enemy in area every 0.5 sec."
USkillAttack119_name,휘둘러치기,Swinging Blow
USkillAttack119_desc,주먹을 정확히 내질러 적에게 피해를 준다.,Drives a precise fist into the enemy.
USkillAttack119_effect,때리기 데미지 18,18 Crushing Damage.
USkillAttack120_name,마구 때리기,Wild Pummeling
USkillAttack120_desc,마구잡이로 주먹을 휘둘러 눈에 보이는 적을 때린다.,"Swings wildly, pummeling any enemy in sight."
USkillAttack120_effect,때리기 데미지 4.5,4.5 Crushing Damage.
USkillAttack121_name,참수,Decapitation
USkillAttack121_desc,목을 노려 적을 강하게 베어내 피해를 준다.,Strikes hard at the enemy's neck with a powerful slash.
USkillAttack121_effect,베기 데미지 20.25,20.25 Slashing Damage.
USkillAttack122_name,선풍격,Whirlwind Slash
USkillAttack122_desc,거대한 검을 잡고 휘둘러 주위에 있는 모든 적에게 벤다.,"Swings a massive sword in a wide circle, cutting down all nearby enemies."
USkillAttack122_effect,자신 주변 원형 범위 내 적군 93.75의 베기 데미지,All enemies around self: 93.75 Slashing Damage.
USkillAttack123_name,급소 찌르기,Vital Thrust
USkillAttack123_desc,날쌘 동작으로 적의 급소를 찌른다.,Swiftly strikes at the enemy's vital point.
USkillAttack123_effect,찌르기 데미지 13.5,13.5 Piercing Damage.
USkillAttack124_name,맹독 칼,Poison Blade
USkillAttack124_desc,맹독을 바른 칼로 적을 찔러 중독시킨다.,Stabs the enemy with a blade coated in deadly poison.
USkillAttack124_effect,"찌르기 데미지 18.75, 50% 확률로 '중독' 상태 부여",18.75 Piercing Damage. 50% chance to inflict 'Poisoned'.
USkillAttack125_name,광기의 심판,Judgment
USkillAttack125_desc,주위에 있는 모든 적을 이단으로 규정하여 심판의 검기를 날린다.,Condemns every nearby enemy as a heretic and unleashes blades of judgment upon them.
USkillAttack125_effect,원뿔 범위 내 적군 베기 데미지 75,All enemies in a cone: 75 Slashing Damage.
USkillAttack126_name,심판의 일격,Judgment Strike
USkillAttack126_desc,"망치로 내리쳐 주변에 있는 적들에게 충격을 주며, 심약하게 만든다.","Slams down a hammer, striking nearby enemies and sapping their strength."
USkillAttack126_effect,"타겟 중심 원형 범위 내 적군 때리기 데미지 75, '약화' 상태 부여",All enemies around target: 75 Crushing Damage. Inflicts 'Weakened'.
USkillAttack127_name,아포칼립스,Apocalypse
USkillAttack127_desc,손을 들어 타겟의 위치를 알리고 그 자리에 돌 무더기를 떨어뜨린다.,"Raises a hand to mark the target's position, then rains down a mass of rocks upon it."
USkillAttack127_effect,"타겟 중심 원형범위 내 적군 때리기 데미지 93.75, 40% 확률로 '기절' 상태 부여",All enemies around target: 93.75 Crushing Damage. 40% chance to inflict 'Stunned'.
USkillAttack128_name,산탄,Buckshot
USkillAttack128_desc,산탄을 발사하여 넓은 범위의 적에게 데미지를 입힌다.,"Fires a spread of shot, damaging enemies across a wide area."
USkillAttack128_effect,원뿔 범위 내 적 찌르기 데미지 75,All enemies in a cone: 75 Piercing Damage.
USkillAttack129_name,자폭,Self-Destruct
USkillAttack129_desc,체력이 10% 이하가 되면 그 자리에서 광역으로 폭발한다.,"When HP falls below 10%, explodes at the current position and damages nearby enemies."
USkillAttack129_effect,자신 주변 원형 범위 내 적군 때리기 데미지 40,All enemies around self: 40 Blunt Damage.
USkillAttack130_name,힘껏 쏘기,Power Shot
USkillAttack130_desc,활시위를 힘껏 당겨 화살을 쏜다.,Draws the bowstring with full strength and fires an arrow.
USkillAttack130_effect,찌르기 데미지 13.5,13.5 Piercing Damage.
USkillAttack131_name,빈틈 쏘기,Opening Shot
USkillAttack131_desc,적의 갑옷과 방어 자세 사이의 빈틈을 노려 화살을 쏜다.,Fires an arrow into a gap between the enemy's armor and defensive stance.
USkillAttack131_effect,"찌르기 데미지 18, 방어 상성 무시",27 Piercing Damage. Ignores Defense Matchup.
USkillAttack132_name,꿰뚫는 화살,Piercing Arrow
USkillAttack132_desc,적의 방어를 꿰뚫는 화살을 쏘아 큰 피해를 입힌다.,Fires an arrow that pierces through the enemy's defenses for heavy damage.
USkillAttack132_effect,"찌르기 데미지 27, 방어 상성 무시",27 Piercing Damage. Ignores Defense Matchup.
USkillAttack133_name,조준,Aim
USkillAttack133_desc,표적의 약점을 조준해 방어 상성을 무시하는 강력한 화살을 쏜다.,Takes aim at the target's weak point and fires a powerful arrow that bypasses its defenses.
USkillAttack133_effect,"찌르기 데미지 37.5, 방어 상성 무시",37.5 Piercing Damage. Ignores Defense Matchup.
USkillAttack134_name,피니시샷,Finishing Shot
USkillAttack134_desc,결정적인 순간에 화살을 날려 매우 먼 거리의 적에게 치명적인 피해를 입힌다.,"Fires at the decisive moment, dealing devastating damage to an enemy at extreme range."
USkillAttack134_effect,"찌르기 데미지 60, 방어 상성 무시",60 Piercing Damage. Ignores Defense Matchup.
USkillAttack135_name,회전격,Spinning Slash
USkillAttack135_desc,"몸을 크게 회전시키며 무기를 휘둘러, 주변의 적들을 한 번에 베어낸다.","Spins the entire body while swinging the weapon, cutting down nearby enemies in one sweep."
USkillAttack135_effect,자신 주변 원형 범위 내 적군 베기 데미지 37.5,All enemies around self: 37.5 Slashing Damage.
USkillBuff001_name,기합,Battle Cry
USkillBuff001_desc,단전에 힘을 모으며 소리를 질러 투지를 상승시킨다.,"Focuses strength in the core and lets out a powerful shout, raising fighting spirit."
USkillBuff001_effect,자신에게 '폭주' 상태 부여,Self: Grants 'Rampaged'.
USkillBuff002_name,어깨춤사위,Shoulder Dance
USkillBuff002_desc,흥겨운 어깨춤으로 아군의 흥을 한껏 끌어올린다. 춤사위에 덩달아 신이 난 아군은 더욱 거세고 빠르게 적을 몰아붙인다.,"Performs a lively shoulder dance, lifting the spirits of nearby allies to fiercely attack."
USkillBuff002_effect,자신 주변 원형 범위 내 아군 '폭주' 상태 부여,All allies around self: Grants 'Rampaged'.
USkillBuff003_name,불굴 1,Indomitable 1
USkillBuff003_desc,굴하지 않는 마음으로 자신을 단련시켜 잠시동안 받는 피해가 감소한다.,"Steels the body with an unyielding spirit, reducing damage taken for a short time."
USkillBuff003_effect,자신에게 '불괴' 상태 부여,Self: Grants 'Unbreakable'.
USkillBuff004_name,즉문 즉설,Words of Wisdom
USkillBuff004_desc,아군을 대상으로 마음의 고통을 없앨 방법을 알려주어 정신력을 높인다.,Offers words of wisdom to ease allies' troubled minds and strengthen their resolve.
USkillBuff004_effect,자신 주변 원형 범위 내 아군 '평정' 상태 부여,All allies around self: Grants 'Calmed'.
USkillBuff005_name,탕약 처방,Herbal Remedy
USkillBuff005_desc,기혈의 순환을 돕는 탕약을 달여 지친 아군에게 나누어 준다. 따뜻한 약기운이 온몸에 퍼지면서 몸이 서서히 회복된다.,Prescribes a restorative herbal decoction that gradually restores an ally's health.
USkillBuff005_effect,자신 주변 원형 범위 내 아군 '재생' 상태 부여,All allies in a circular area: Grants 'Regenerating'.
USkillBuff006_name,불굴 2,Indomitable 2
USkillBuff006_desc,굴하지 않는 마음으로 자신을 단련시켜 잠시동안 받는 피해가 감소한다.,"Steels the body with an unyielding spirit, reducing damage taken for a short time."
USkillBuff006_effect,자신에게 '불괴' 상태 부여,Self: Grants 'Unbreakable'.
USkillBuff007_name,염불,Buddhist Chant
USkillBuff007_desc,"마음을 가라앉히는 염불을 외워, 주변 아군들이 흔들림 없이 전투에 집중할 수 있도록 이끈다.","Recites a calming Buddhist chant, helping nearby allies steady their minds and focus on battle."
USkillBuff007_effect,자신 주변 원형 범위 내 아군 '평정' 상태 부여,All allies around self: Grants 'Calmed'.
USkillBuff008_name,,
USkillBuff008_desc,,
USkillBuff008_effect,,
USkillBuff009_name,희망의 빛,Light of Hope
USkillBuff009_desc,주위 아군에게 희망의 빛을 불어 넣어 이동 속도를 상승시킨다.,"Fills nearby allies with the light of hope, increasing their movement speed."
USkillBuff009_effect,자신 중심 원형 범위 내 아군 '신속 기동' 상태 부여,All allies around self: Grants 'Hastened'.
USkillBuff010_name,필승의 기도,Victory Prayer
USkillBuff010_desc,근처 아군을 위해 필승의 기도를 올려 한명의 공격 속도를 상승시킨다.,"Offers a prayer for certain victory, increasing the attack speed of one nearby ally."
USkillBuff010_effect,가까운 아군 한명 '폭주' 상태 부여,1 nearby ally: Grants 'Rampaged'.
USkillNerf001_name,대살굿,Great Ritual
